experiment_filename,original_filename,subcategory,category,memorability_score,type
highmem_1.jpg,n03594945_8657.jpg,SUV,vehicle,0.896551724137931,highmem
highmem_2.jpg,000000267136.jpg,SUV,vehicle,0.860869565217391,highmem
lowmem_1.jpg,000000526071.jpg,SUV,vehicle,0.476635514018692,lowmem
lowmem_2.jpg,n03594945_6393.jpg,SUV,vehicle,0.406779661016949,lowmem
highmem_3.jpg,000000486233.jpg,airplane,vehicle,0.912621359223301,highmem
highmem_4.jpg,000000423231.jpg,airplane,vehicle,0.887640449438202,highmem
lowmem_3.jpg,000000150181.jpg,airplane,vehicle,0.514563106796116,lowmem
lowmem_4.jpg,000000352151.jpg,airplane,vehicle,0.416666666666667,lowmem
highmem_5.jpg,000000282583.jpg,apple,food,0.894230769230769,highmem
highmem_6.jpg,000000094514.jpg,apple,food,0.888888888888889,highmem
lowmem_5.jpg,000000087383.jpg,apple,food,0.677777777777778,lowmem
lowmem_6.jpg,000000286751.jpg,apple,food,0.535087719298246,lowmem
highmem_7.jpg,8797c6121f65e4e3.jpg,badlands,landscape,0.875,highmem
highmem_8.jpg,f3de0d72febbe17f.jpg,badlands,landscape,0.8125,highmem
lowmem_7.jpg,sun_attunurkvvvrpksl.jpg,badlands,landscape,0.26,lowmem
lowmem_8.jpg,sun_bmoouvnnsnxypsla.jpg,badlands,landscape,0.207920792079208,lowmem
highmem_9.jpg,n07693725_3177.jpg,bagel,food,0.943820224719101,highmem
highmem_10.jpg,n07693725_6372.jpg,bagel,food,0.912087912087912,highmem
lowmem_9.jpg,n07693725_8448.jpg,bagel,food,0.670454545454545,lowmem
lowmem_10.jpg,n07693725_3536.jpg,bagel,food,0.588888888888889,lowmem
highmem_11.jpg,n07753592_11382.jpg,banana,food,0.967741935483871,highmem
highmem_12.jpg,000000504554.jpg,banana,food,0.94949494949495,highmem
lowmem_11.jpg,000000009768.jpg,banana,food,0.69,lowmem
lowmem_12.jpg,n07753592_2021.jpg,banana,food,0.663366336633663,lowmem
highmem_13.jpg,n07654148_13921.jpg,barbecue,food,0.94,highmem
highmem_14.jpg,n07654148_20099.jpg,barbecue,food,0.933962264150943,highmem
lowmem_13.jpg,n07654148_16788.jpg,barbecue,food,0.57843137254902,lowmem
lowmem_14.jpg,n07654148_12782.jpg,barbecue,food,0.544444444444444,lowmem
highmem_15.jpg,n02793495_4187.jpg,barn,landscape,0.822222222222222,highmem
highmem_16.jpg,n02793495_16251.jpg,barn,landscape,0.80952380952381,highmem
lowmem_15.jpg,n02793495_15347.jpg,barn,landscape,0.391304347826087,lowmem
lowmem_16.jpg,n02793495_2078.jpg,barn,landscape,0.36734693877551,lowmem
highmem_17.jpg,000000303250.jpg,bear,animal,0.884210526315789,highmem
highmem_18.jpg,000000327159.jpg,bear,animal,0.878787878787879,highmem
lowmem_17.jpg,000000474543.jpg,bear,animal,0.517241379310345,lowmem
lowmem_18.jpg,000000313412.jpg,bear,animal,0.48,lowmem
highmem_19.jpg,n07720875_1697.jpg,bell pepper,food,0.957894736842105,highmem
highmem_20.jpg,n07720875_5177.jpg,bell pepper,food,0.936363636363636,highmem
