"rep","N","p","conv_ok"
54,20,0.00593477232042118,TRUE
54,30,0.223106906386318,TRUE
54,40,0.0324070917653631,TRUE
54,50,0.0415366393745981,TRUE
54,60,0.00756258559901185,TRUE
54,80,8.12194052970461e-05,TRUE
54,100,8.6781015138365e-05,TRUE
55,15,0.021827553172375,TRUE
55,20,0.0054762584820226,TRUE
55,30,1.59944014956807e-05,TRUE
55,40,5.0963623182522e-09,FALSE
55,50,0.00018042579415798,FALSE
55,60,2.19016726351248e-05,TRUE
55,80,2.84156726528659e-07,TRUE
55,100,6.53885902433359e-09,TRUE
56,15,0.768070248065425,TRUE
56,20,0.0440767560602097,TRUE
56,30,0.0353459582558455,TRUE
56,40,0.000135811906709687,TRUE
56,50,7.78385441310413e-06,TRUE
56,60,0.000272390844419227,FALSE
56,80,7.95615859963683e-07,TRUE
56,100,1.87442414147341e-06,TRUE
57,15,0.0261533881325378,TRUE
57,20,0.0723804895621159,TRUE
57,30,0.0254042289722708,TRUE
57,40,0.000451107890938813,FALSE
57,50,1.2044101941362e-05,TRUE
57,60,0.000363488440772578,TRUE
57,80,5.02361143432779e-05,TRUE
57,100,6.59060985310039e-07,TRUE
58,15,0.0322598776941047,FALSE
58,20,0.00717127498314842,TRUE
58,30,0.00962939232804451,TRUE
58,40,0.00281334878195603,TRUE
58,50,0.00262960590832512,TRUE
58,60,1.25643996005835e-05,TRUE
58,80,1.95181072396801e-06,TRUE
58,100,6.27955068291299e-07,TRUE
59,15,0.0223407332356582,TRUE
59,20,0.00258813661089971,TRUE
59,30,0.00524131240801745,TRUE
59,40,2.06136852633031e-05,TRUE
59,50,0.000244399012359784,TRUE
59,60,1.39288007487368e-05,TRUE
59,80,4.97498209027622e-05,FALSE
59,100,6.00570900583254e-08,TRUE
60,15,0.106413618021435,TRUE
60,20,0.034730979023211,TRUE
60,30,0.0284610278448265,TRUE
60,40,0.000570773965680479,TRUE
60,50,0.000135490967490413,FALSE
60,60,0.000559771194490998,TRUE
60,80,0.000831657989632515,TRUE
60,100,6.56984679142284e-05,TRUE
61,15,0.00915874498958754,TRUE
61,20,0.497792036835902,TRUE
61,30,0.000177122542905801,FALSE
61,40,0.000129205626140581,FALSE
61,50,0.000210364206857108,TRUE
61,60,4.44470125561259e-05,TRUE
61,80,6.0206506026443e-07,TRUE
61,100,1.43840070607068e-09,TRUE
62,15,0.143835132967908,TRUE
62,20,0.00182197192250996,TRUE
62,30,0.00958483071051568,TRUE
62,40,0.00108130558834996,TRUE
62,50,0.000444666974019598,TRUE
62,60,2.42729500190315e-06,TRUE
62,80,3.11463604220291e-08,TRUE
62,100,8.6569575491489e-10,TRUE
63,15,0.000480332967631671,TRUE
63,20,0.0642638636842112,TRUE
63,30,0.196828551493135,TRUE
63,40,0.00771411091334774,TRUE
63,50,0.00929479294021495,TRUE
63,60,0.000518381949593468,TRUE
63,80,0.000584683468658881,TRUE
63,100,1.85278978006351e-05,TRUE
64,15,0.0132608512170178,TRUE
64,20,0.045624528119967,TRUE
64,30,0.0524146233924002,TRUE
64,40,0.000514438385537076,TRUE
64,50,7.20653655945845e-05,TRUE
64,60,0.000135601482514971,TRUE
64,80,1.07349668114815e-07,TRUE
64,100,7.96498411786294e-07,TRUE
65,15,0.00914141602360657,TRUE
65,20,0.461603189307595,TRUE
65,30,0.00225122570674608,TRUE
65,40,0.000248393124235596,TRUE
65,50,3.92661635498687e-06,TRUE
65,60,0.000254384121493626,TRUE
65,80,5.17357038328051e-06,TRUE
65,100,2.48523503499253e-06,TRUE
66,15,0.015002299509157,TRUE
66,20,0.0103392677464766,TRUE
66,30,0.898013244696176,TRUE
66,40,0.0228901691209194,TRUE
66,50,0.0708706676035213,TRUE
66,60,0.00373025334467193,TRUE
66,80,0.00056328435982616,TRUE
66,100,0.000572680942685215,FALSE
67,15,0.0549702393385178,TRUE
67,20,0.0108887359566873,TRUE
67,30,0.00572398263484835,TRUE
67,40,0.00277254527880346,TRUE
67,50,0.00315159825066528,TRUE
67,60,0.000786720516667469,FALSE
67,80,3.98704732947588e-05,TRUE
67,100,1.12047868343848e-06,TRUE
68,15,0.00951724627307713,TRUE
68,20,0.402227399119065,TRUE
68,30,0.0807775860490526,TRUE
68,40,0.185102575826015,TRUE
68,50,0.0256947499481988,TRUE
68,60,0.000357233570895911,TRUE
68,80,0.000782036581437438,TRUE
68,100,6.72365420205554e-06,TRUE
69,15,0.032919786299782,TRUE
69,20,0.021284046846437,TRUE
69,30,0.0865841772250878,TRUE
69,40,0.00121924844326576,TRUE
69,50,0.000212600595095715,TRUE
69,60,0.0116227385871882,TRUE
69,80,0.0010667330544163,TRUE
69,100,2.30680460495565e-05,TRUE
70,15,0.0774317157743825,TRUE
70,20,0.844527025582542,TRUE
70,30,0.13522799865185,TRUE
70,40,0.00471544950312799,TRUE
70,50,9.22157595771939e-05,TRUE
70,60,0.0128926107427099,TRUE
70,80,0.00323024802697002,TRUE
70,100,0.000674092352848644,TRUE
71,15,0.00224226784043452,TRUE
71,20,0.00186659920576056,FALSE
71,30,0.0217285547646759,TRUE
71,40,0.000739949205713489,TRUE
71,50,7.81516965964825e-06,TRUE
71,60,1.38921451686989e-07,FALSE
71,80,8.77401791559196e-06,TRUE
71,100,4.54413557934553e-06,TRUE
72,15,0.429198299795749,TRUE
72,20,0.0182361117904437,TRUE
72,30,0.0193726392916961,TRUE
72,40,0.000360498875939956,TRUE
72,50,0.0157257735316635,TRUE
72,60,0.00543776675625846,TRUE
72,80,8.89380492551934e-06,TRUE
72,100,2.08680774072251e-05,TRUE
73,15,0.102837808015274,TRUE
73,20,0.0950392444859329,TRUE
73,30,0.000105177144662485,TRUE
73,40,0.00551394926427228,FALSE
73,50,1.2746267161152e-06,TRUE
73,60,6.79156571004367e-05,FALSE
73,80,4.74971827459536e-06,TRUE
73,100,6.38936600282085e-08,TRUE
74,15,0.00327006513168968,TRUE
74,20,0.00222354263131714,TRUE
74,30,0.000217203540961071,TRUE
74,40,0.029919239907507,TRUE
74,50,6.2853120277452e-06,TRUE
74,60,6.83981360675649e-07,TRUE
74,80,5.3394851821086e-07,TRUE
74,100,5.25466717868015e-09,TRUE
75,15,0.163311661356283,TRUE
75,20,0.612129673779803,FALSE
75,30,0.0360539344979268,TRUE
75,40,0.000576583647208977,TRUE
75,50,0.00418123704569092,TRUE
75,60,0.00140294236998086,FALSE
75,80,0.00237225278022643,TRUE
75,100,2.3722805943137e-05,TRUE
76,15,0.00815956620088753,TRUE
76,20,0.154894200538863,TRUE
76,30,0.0235348995611458,TRUE
76,40,0.015686031602855,TRUE
76,50,0.000653768898210505,TRUE
76,60,5.05569811185379e-06,TRUE
76,80,7.65708829635146e-07,TRUE
76,100,2.6664071456544e-07,TRUE
77,15,0.0388428533184162,TRUE
77,20,0.185539304890131,TRUE
77,30,0.0117736146295303,TRUE
77,40,0.0326584237838874,TRUE
77,50,0.00856365257647627,TRUE
77,60,0.00321884725457761,TRUE
77,80,0.00121193922449025,TRUE
77,100,6.5131971537892e-05,TRUE
78,15,0.161153856265066,FALSE
78,20,0.137321961066384,TRUE
78,30,0.00409850697761204,FALSE
78,40,0.00167843667722644,TRUE
78,50,0.00115664779812678,TRUE
78,60,0.020974736612456,TRUE
78,80,0.000176472764169054,TRUE
78,100,0.000196395682260967,FALSE
79,15,0.00924484840665694,TRUE
79,20,0.204238403839511,TRUE
79,30,0.0123890491003421,TRUE
79,40,0.0114409287818501,TRUE
79,50,0.0466037589895046,TRUE
79,60,0.00616230730659977,TRUE
79,80,0.0016696793237538,TRUE
79,100,0.0011593742625919,TRUE
80,15,0.000465881800063198,FALSE
80,20,0.0147951560047258,TRUE
80,30,0.000481167374523587,TRUE
80,40,0.0122176650807722,TRUE
80,50,0.0132917766381824,TRUE
80,60,0.00056744949948173,TRUE
80,80,6.85882088932413e-05,TRUE
80,100,2.2833823646468e-05,TRUE
81,15,0.638848834423019,TRUE
81,20,0.676346096086398,TRUE
81,30,0.2070502585932,TRUE
81,40,0.000587182544096376,TRUE
81,50,0.00073307185157935,TRUE
81,60,0.0145414376283274,TRUE
81,80,0.000476711140341357,TRUE
81,100,5.65837565437681e-05,TRUE
82,15,0.029836242610665,TRUE
82,20,0.0115570474612167,TRUE
82,30,0.0186400858823144,TRUE
82,40,0.000900085886516455,TRUE
82,50,1.09176535844899e-05,TRUE
82,60,2.04713721083724e-08,TRUE
82,80,3.23572417926385e-08,TRUE
