concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
asparagus,low,asparagus_09s.jpg,images/asparagus_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/asparagus/asparagus_09s.jpg,0.604651163,0.818181818,0.944444444,4.96,2.1010495671493143,asparagus/asparagus_09s.jpg,vegetable,25,vegetable,milp
gourd,low,gourd_08s.jpg,images/gourd_08s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/gourd/gourd_08s.jpg,0.625,0.153846154,0.631578947,4.86,3.27319390178503,gourd/gourd_08s.jpg,vegetable,25,vegetable,milp
okra,low,okra_02n.jpg,images/okra_02n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/okra/okra_02n.jpg,0.41025641,0.375,0.352941176,4.78,0.01723741668581935,okra/okra_02n.jpg,vegetable,25,vegetable,milp
radish,low,radish_01b.jpg,images/radish_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/radish/radish_01b.jpg,0.6,0.692307692,0.789473684,4.87,1.9210143262085346,radish/radish_01b.jpg,vegetable,25,vegetable,milp
tomato,low,tomato_10n.jpg,images/tomato_10n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/tomato/tomato_10n.jpg,0.564102564,1.0,1.0,5.0,0.8905998621006664,tomato/tomato_10n.jpg,vegetable,25,vegetable,milp
vegetable,low,vegetable_07s.jpg,images/vegetable_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/vegetable/vegetable_07s.jpg,0.634146341,1.0,0.947368421,4.89,4.008657013713322,vegetable/vegetable_07s.jpg,vegetable,25,vegetable,milp
aircraft_carrier,low,aircraft_carrier_09s.jpg,images/aircraft_carrier_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/aircraft_carrier/aircraft_carrier_09s.jpg,0.536585366,0.230769231,0.555555556,4.93,0.4462575653106565,aircraft_carrier/aircraft_carrier_09s.jpg,vehicle,26,vehicle,milp
buggy,low,buggy_10s.jpg,images/buggy_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/buggy/buggy_10s.jpg,0.523809524,0.176470588,0.5,4.18,0.30261242626216195,buggy/buggy_10s.jpg,vehicle,26,vehicle,milp
bulldozer,low,bulldozer_06s.jpg,images/bulldozer_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bulldozer/bulldozer_06s.jpg,0.536585366,0.615384615,0.421052632,4.9,0.4462575653106565,bulldozer/bulldozer_06s.jpg,vehicle,26,vehicle,milp
chariot,low,chariot_08s.jpg,images/chariot_08s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chariot/chariot_08s.jpg,0.525,0.666666667,0.705882353,4.86,0.34091779667509386,chariot/chariot_08s.jpg,vehicle,26,vehicle,milp
